area,city,floor,location,price,rooms,source,square_price,title
80,Beograd,1," Opština Čukarica , Banovo brdo ",259481,4.0,halooglasi,3244,Extra lux stan na Banovom brdu - bez provizije
42,Vrnjačka Banja,0," Gradska lokacija , Raj ",75000,1.5,halooglasi,1786,Stan na Raju-42m2
52,Beograd,16," Opština Novi Beograd , Blok 63 , Gandijeva ",124000,2.0,halooglasi,2385,"Novi Beograd, bl.63; Gandijeva, 2.0; 52m2,L"
85,Beograd,2," Opština Zvezdara , Mirijevo , Koste Nađa ",156000,4.0,halooglasi,1835,"Komforan, održavan, svetao"
73,Beograd,5," Opština Voždovac , Banjica , Bulevar oslobođenja ",149900,3.0,halooglasi,2053,"Južna strana, terasa 30m2"
29,Beograd,p," Opština Vračar , Hram svetog Save , Nebojšina ",97000,1.0,halooglasi,3345,"Renoviran, panoramski pogled"
73,Beograd,1," Opština Zemun , Altina , Pavla Vujisića 69b ",115000,2.5,halooglasi,1575,Direktna prodaja Altina
67,Beograd,1," Opština Zemun , Pregrevica ",199350,3.0,halooglasi,3000,"Sjajan,lux trosoban stan"
51,Beograd,2," Opština Zemun , Pregrevica ",150060,2.0,halooglasi,3000,"Sjajan, lux dvosoban stan, Pregrevica"
103,Beograd,0," Opština Zemun , Pregrevica ",308010,4.0,halooglasi,3000,"Lux 4.0, plus u cenu uklučeno dvorište od 150m2"
90,Beograd,3," Opština Voždovac , Autokomanda , Bože Jankovića ",179000,4.0,halooglasi,1989,Odličan stan na dobroj lokaciji
118,Beograd,4," Opština Vračar , Hram svetog Save , Svetog Save ",435000,4.0,halooglasi,3686,"Vračar, Hram, stan sa garažom"
56,Beograd,3," Opština Zvezdara , Mirijevo , Mirijevski venac ",120000,2.0,halooglasi,2143,"Mirijevski venac, Mirijevo"
90,Beograd,1," Opština Vračar , Hram svetog Save , Brane Crnčevića ",412000,3.0,halooglasi,4578,"Vračar, Hram Sv. Save - Brane Crnčevića, 90m2"
77,Beograd,8," Opština Voždovac , Medaković 3 , Braće Srnić ",179000,3.0,halooglasi,2325,Medaković 3 Braće Srnić trosoban stan
97,Beograd,2," Opština Novi Beograd , Bežanijska kosa 2 , Marka Čelebonovića ",250000,4.0,halooglasi,2577,"Izvanredan, svetao stan u zelenilu"
83,Beograd,0.5," Opština Zvezdara , Mirijevo , Kapetana Miloša Žunjića ",164000,4.0,halooglasi,1976,"83m2 +37m2 terasa, parking"
71,Tara,p," Planina , Kaluđerske bare , Kremanske Kose ",189000,3.0,halooglasi,2662,Apartman na Tari (duplex) sa saunom i djakuzijem.
43,Beograd,0," Opština Palilula , Hadžipopovac , Vojvode Vuka ",148000,2.0,halooglasi,3498,Novogradnja Hadzipopovac - bez provizije za kupca
41,Beograd,p," Opština Vračar , Hram svetog Save , Šumatovačka ",173000,1.5,halooglasi,4220,"Vračar, 1.5, novogradnja, Šumatovačka ID#1298"
46,Beograd,0," Opština Palilula , Botanička bašta , Dalmatinska ",115000,2.0,halooglasi,2500,"Renoviran 2.0 stan u Dalmatinskoj, Botanička bašta"
74,Beograd,9," Opština Savski venac , Senjak , Stjepana Filipovića ",186250,3.0,halooglasi,2540,"Senjak, Hajd Park, osvetljen, trostran 3.0 stan ID"
130,Beograd,1," Opština Stari grad , Centar , Hilandarska ",375000,4.0,halooglasi,2885,"Divna salonska zgrada, lift, Stari grad, 4.0 ID#13"
